detector, pixel,offset, slope, E4keV,E5keV,E6keV,E7keV,E8keV,E9keV,E10keV,E11keV,E12keV,E13keV,E14keV,E15keV,E16keV,E18keV,E20keV,E22keV,E25keV,E28keV,E32keV,E36keV,E40keV,E45keV,E50keV,E56keV,E63keV,E70keV,E76keV,E84keV,E100keV,E120keV,E150keV
0,0,305.17637892639493,2.2942103512906336,1257,1266,1275,1284,1294,1303,1312,1321,1330,1340,1349,1358,1367,1385,1404,1422,1450,1477,1514,1551,1587,1633,1679,1734,1798,1863,1918,1991,2138,2321,2597
0,1,322.3652569932911,2.290349764762714,1326,1335,1344,1353,1362,1371,1381,1390,1399,1408,1417,1426,1436,1454,1472,1491,1518,1545,1582,1619,1655,1701,1747,1802,1866,1930,1985,2059,2205,2388,2663
0,2,307.2255379610698,2.2940942755503926,1265,1274,1283,1293,1302,1311,1320,1329,1339,1348,1357,1366,1375,1394,1412,1430,1458,1485,1522,1559,1595,1641,1687,1742,1807,1871,1926,1999,2146,2330,2605
0,3,313.7959810865988,2.280780419662611,1291,1300,1309,1319,1328,1337,1346,1355,1364,1373,1382,1392,1401,1419,1437,1455,1483,1510,1547,1583,1620,1665,1711,1766,1829,1893,1948,2021,2167,2349,2623
0,4,319.00229090044127,2.285502690179113,1312,1321,1330,1340,1349,1358,1367,1376,1385,1394,1403,1413,1422,1440,1458,1477,1504,1531,1568,1605,1641,1687,1733,1787,1851,1915,1970,2043,2190,2373,2647
0,5,314.6997140031332,2.264071883216106,1295,1304,1313,1322,1331,1340,1349,1358,1367,1376,1385,1394,1403,1421,1439,1458,1485,1512,1548,1584,1621,1666,1711,1765,1829,1892,1947,2019,2164,2345,2617
0,6,314.26690387680486,2.3073826545301346,1293,1303,1312,1321,1330,1340,1349,1358,1367,1377,1386,1395,1404,1423,1441,1460,1487,1515,1552,1589,1626,1672,1718,1773,1838,1903,1958,2032,2180,2364,2641
0,7,311.51105258563075,2.291158817151295,1282,1291,1301,1310,1319,1328,1337,1346,1356,1365,1374,1383,1392,1411,1429,1447,1475,1502,1539,1575,1612,1658,1704,1759,1823,1887,1942,2015,2162,2345,2620
0,8,318.9053818364274,2.3133433601808653,1312,1321,1331,1340,1349,1358,1368,1377,1386,1395,1405,1414,1423,1442,1460,1479,1506,1534,1571,1608,1645,1692,1738,1793,1858,1923,1978,2052,2200,2386,2663
0,9,302.4776279211641,2.300518878852499,1246,1255,1265,1274,1283,1292,1301,1311,1320,1329,1338,1347,1357,1375,1393,1412,1439,1467,1504,1541,1577,1624,1670,1725,1789,1854,1909,1982,2130,2314,2590
0,10,305.49159243307855,2.2912545489393032,1258,1267,1276,1286,1295,1304,1313,1322,1331,1341,1350,1359,1368,1386,1405,1423,1451,1478,1515,1551,1588,1634,1680,1735,1799,1863,1918,1991,2138,2321,2596
0,11,311.28914722591986,2.287127835310673,1281,1290,1300,1309,1318,1327,1336,1345,1354,1364,1373,1382,1391,1409,1428,1446,1473,1501,1537,1574,1611,1656,1702,1757,1821,1885,1940,2013,2160,2342,2617
1,0,279.3293177068964,2.317923811882697,1154,1163,1172,1182,1191,1200,1210,1219,1228,1237,1247,1256,1265,1284,1302,1321,1349,1376,1414,1451,1488,1534,1580,1636,1701,1766,1821,1896,2044,2229,2508
1,1,287.1919757818438,2.288597024808793,1185,1194,1203,1212,1222,1231,1240,1249,1258,1267,1276,1286,1295,1313,1331,1350,1377,1405,1441,1478,1514,1560,1606,1661,1725,1789,1844,1917,2064,2247,2521
1,2,279.72639095776344,2.2928481675412504,1155,1164,1173,1183,1192,1201,1210,1219,1228,1238,1247,1256,1265,1283,1302,1320,1348,1375,1412,1449,1485,1531,1577,1632,1696,1760,1815,1889,2036,2219,2494
1,3,278.4142787845875,2.316090352241549,1150,1159,1169,1178,1187,1197,1206,1215,1224,1234,1243,1252,1261,1280,1298,1317,1345,1373,1410,1447,1484,1530,1576,1632,1697,1762,1817,1891,2040,2225,2503
1,4,286.1540543589116,2.317259382685315,1181,1190,1200,1209,1218,1228,1237,1246,1255,1265,1274,1283,1292,1311,1329,1348,1376,1404,1441,1478,1515,1561,1608,1663,1728,1793,1849,1923,2071,2256,2534
1,5,277.15480220900406,2.3127369804223665,1145,1154,1164,1173,1182,1191,1201,1210,1219,1228,1238,1247,1256,1275,1293,1312,1339,1367,1404,1441,1478,1524,1571,1626,1691,1756,1811,1885,2033,2218,2496
1,6,291.15233175218873,2.2929534989915057,1201,1210,1219,1228,1237,1247,1256,1265,1274,1283,1293,1302,1311,1329,1348,1366,1393,1421,1458,1494,1531,1577,1623,1678,1742,1806,1861,1935,2081,2265,2540
1,7,275.0803296052128,2.3116322816084485,1137,1146,1155,1165,1174,1183,1192,1202,1211,1220,1229,1239,1248,1266,1285,1303,1331,1359,1396,1433,1470,1516,1562,1618,1682,1747,1803,1877,2024,2209,2487
1,8,275.9299535127054,2.321271882607689,1140,1150,1159,1168,1178,1187,1196,1205,1215,1224,1233,1242,1252,1270,1289,1307,1335,1363,1400,1437,1475,1521,1567,1623,1688,1753,1809,1883,2032,2217,2496
